Stock,DegreeCentrality,BetweennessCentrality
ETERNAL.NS,0.005319148936170213,0.0
BOSCHLTD.NS,0.005319148936170213,0.0
KPITTECH.NS,0.005319148936170213,0.0
M&M.NS,0.005319148936170213,0.0
FORTIS.NS,0.0,0.0
DMART.NS,0.0,0.0
BLUESTARCO.NS,0.0,0.0
BHARTIARTL.NS,0.0,0.0
COROMANDEL.NS,0.0,0.0
DIVISLAB.NS,0.0,0.0
APOLLOHOSP.NS,0.0,0.0
ASIANPAINT.NS,0.0,0.0
360ONE.NS,0.0,0.0
ALKEM.NS,0.0,0.0
AUBANK.NS,0.0,0.0
BAJAJHLDNG.NS,0.0,0.0
BHARTIHEXA.NS,0.0,0.0
BSE.NS,0.0,0.0
MUTHOOTFIN.NS,0.0,0.0
MRF.NS,0.0,0.0
MOTILALOFS.NS,0.0,0.0
MAXHEALTH.NS,0.0,0.0
MANKIND.NS,0.0,0.0
ITC.NS,0.0,0.0
KOTAKBANK.NS,0.0,0.0
KALYANKJIL.NS,0.0,0.0
JUBLFOOD.NS,0.0,0.0
ICICIGI.NS,0.0,0.0
INDUSINDBK.NS,0.0,0.0
GODFRYPHLP.NS,0.0,0.0
IGL.NS,0.0,0.0
INDIGO.NS,0.0,0.0
PAGEIND.NS,0.0,0.0
PAYTM.NS,0.0,0.0
PIIND.NS,0.0,0.0
PIDILITIND.NS,0.0,0.0
POLICYBZR.NS,0.0,0.0
PHOENIXLTD.NS,0.0,0.0
POWERINDIA.NS,0.0,0.0
NYKAA.NS,0.0,0.0
SONACOMS.NS,0.0,0.0
SUPREMEIND.NS,0.0,0.0
SUZLON.NS,0.0,0.0
TATAELXSI.NS,0.0,0.0
TITAN.NS,0.0,0.0
TORNTPHARM.NS,0.0,0.0
TRENT.NS,0.0,0.0
TIINDIA.NS,0.0,0.0
VBL.NS,0.0,0.0
VOLTAS.NS,0.0,0.0
